day,open,close
0,120.0001,124.29
1,122.7501,121.99
2,121.1,123.27
3,123.72,121.09
4,122.97,120.115
5,124.21,126.88
6,126.47,128.19
7,129,128.3
8,127.02,127.41
9,131.3,128.85
10,128.83,126.07
11,127.46,123.62
12,122.95,122.8
13,123.34,123.93
14,123.2,121.75
15,122.51,125.03
16,124.29,123.9
17,124.2,131.36
18,130.93,130.73
19,129.01,127.52
20,129.8101,127.73
21,128,130.79
22,132.52,134.53
23,130.81,131.37
24,131.02,129.49
25,130.76,130.89
26,131.65,135.445
27,134.28,136.59
28,138.8,140
29,141.72,140.864
30,142.09,138.32
31,139.61,141.83
32,140.92,136.9
33,136.93,130.64
34,130.86,133.71
35,134.53,132.85
36,133.77,134.89
37,133.79,134.54
38,135,138.29
39,139,136.7
40,137.98,138.87
