day,open,close
0,20.4,20.51
1,20.39,20.58
2,20.4,20.75
3,20.8,20.45
4,20.56,20.88
5,21.2,21.3
6,21.24,21.5
7,21.61,21.76
8,21.46,21.45
9,21.96,21.27
10,20.44,20.3
11,20.48,20.91
12,20.93,21.28
13,21.36,21.64
14,21.45,21.24
15,21.16,20.57
16,20.6,20
17,19.9299,20.23
18,19.98,20.02
19,20.07,20.13
20,20.36,20.54
21,20.65,21.29
22,21.5801,21.94
23,21.76,21.95
24,21.82,21.69
25,21.74,21.92
26,22,21.78
27,21.47,21.42
28,21.66,21.36
29,21.31,21.01
30,21.08,21.23
31,21.2,21.98
32,22.0701,22.01
33,22.05,22.16
34,22.14,21.84
35,21.83,22.03
36,22.06,21.67
37,21.5,22.02
38,22.08,22.34
39,22.41,22.11
40,22.22,22.48
