day,open,close
0,15.61,15.83
1,15.78,16.28
2,16.11,16.53
3,16.44,17.13
4,17.27,17.25
5,17.45,17.38
6,17.2,17.38
7,17.5,17.66
8,17.48,17.26
9,17.4,17.48
10,17.44,17.93
11,17.95,18.27
12,18.3,18.43
13,18.54,18.58
14,18.47,18.65
15,18.62,18.54
16,18.75,18.71
17,18.45,17.6
18,17.41,17.19
19,17.3,17.08
20,17.19,17.53
21,17.91,18.26
22,18.5,18.92
23,18.78,18.65
24,17.99,18.03
25,18.21,17.77
26,17.56,17.71
27,17.4,17.75
28,17.9,17.88
29,17.85,18.26
30,18.31,18.11
31,18.25,18.41
32,18.56,18.83
33,18.9,18.99
34,19.14,19.47
35,19.6,20.62
36,20.78,20.05
37,19.92,19.99
38,20.05,20.36
39,20.63,20.49
40,20.53,20.68
