day,open,close
0,326.786,333.027
1,332.837,334.464
2,331.386,329.824
3,329.894,325.325
4,323.563,311.532
5,315.18,311.872
6,312.052,313.283
7,315.916,315.125
8,313.433,312.798
9,316.296,314.595
10,313.619,316.762
11,320.806,320.095
12,295.551,293.279
13,293.284,293.044
14,293.444,290.746
15,289.035,285.021
16,286.267,284.325
17,285.667,290.271
18,289.305,289.125
19,291.782,290.336
20,292.753,290.696
21,292.718,292.838
22,295.616,298.454
23,297.793,304.84
24,303.869,303.679
25,304.615,305.22
26,306.307,306.026
27,304.235,303.249
28,305.546,306.397
29,306.066,305.175
30,306.762,303.073
31,301.702,303.554
32,302.778,302.613
33,302.228,307.297
34,306.276,304.265
35,303.794,303.349
36,303.969,305.245
37,303.589,304.95
38,305.296,309.495
39,309.6,309.425
40,311.431,311.502
