day,open,close
0,186.73,186.3
1,185.57,185.54
2,184.81,184.66
3,184.39,182.54
4,182.2,181.59
5,183.23,181.31
6,180.73,182.32
7,181.86,180.55
8,179.48,179.16
9,180.36,180
10,179.83,181.07
11,181.79,180.52
12,185.77,188.52
13,187.91,189.98
14,188.63,191.93
15,191.33,191.73
16,191.79,190.98
17,190.01,190.46
18,189.39,192.5
19,193.09,192.6
20,193.21,192.62
21,192.72,191.53
22,192.93,193.64
23,192.48,192.82
24,192.45,193.35
25,192.78,192.95
26,193.03,193.13
27,191.76,192.42
28,193.31,192.62
29,191.76,192.22
30,192.31,192.25
31,192.61,193.02
32,193.71,193.42
33,193.73,193.39
34,193.03,193.87
35,193.87,197.61
36,198.38,197.76
37,196.78,197.53
38,197.75,197.98
39,197.86,196.73
40,197.23,197.53
