day,open,close
0,15.76,16.08
1,15.75,15.94
2,15.59,16.28
3,16.08,15.9
4,16,16.2
5,16.67,16.89
6,16.66,17.1
7,17.12,17.17
8,16.58,16.63
9,16.59,16.25
10,16.3,17.35
11,18.4301,18.28
12,17.9,18.39
13,17.99,18.21
14,17.85,18.14
15,17.84,18.13
16,18.29,18.2
17,17.95,18.56
18,18.79,18.2
19,18.4,18.65
20,19.19,19.39
21,19.73,19.52
22,19.97,20.31
23,20.51,20.51
24,20.36,20.26
25,20.25,20.44
26,20.54,20.34
27,19.99,19.66
28,19.98,19.54
29,19.27,19.05
30,19.19,18.96
31,18.57,19.19
32,19.52,19.16
33,19.43,19.26
34,19.24,18.73
35,18.93,18.97
36,19.03,18.49
37,18.33,18.75
38,18.68,18.71
39,18.83,18.54
40,18.74,19.19
