day,open,close
0,26.55,26.765
1,26.8199,27.4
2,27.38,27.68
3,27.53,28.105
4,28.05,27.74
5,27.93,27.84
6,27.43,27.72
7,27.87,28
8,27.93,28.25
9,28.4,28.255
10,28.31,28.23
11,28.16,28.12
12,28.82,29.71
13,29.55,29.73
14,29.47,29.34
15,29.07,29.56
16,29.61,29.5
17,29.45,29.23
18,28.97,29.61
19,29.66,29.53
20,29.79,29.89
21,29.9,29.95
22,30.1401,30.24
23,30.04,30.2
24,30.15,30.35
25,30.26,30.66
26,30.68,30.77
27,30.64,30.495
28,30.63,30.58
29,30.33,30.25
30,30.3301,30.05
31,30.31,31.285
32,31.2,31.25
33,31.18,31.44
34,31.45,31.27
35,31.2,31.37
36,31.48,31.48
37,31.24,31.35
38,31.41,31.87
39,31.885,31.74
40,31.93,32.29
