day,open,close
0,48.685,48.405
1,48.355,49.11
2,48.895,49.08
3,48.965,48.995
4,49.05,49.175
5,49.415,49.235
6,49.135,49.07
7,49.145,49.55
8,49.195,49.15
9,49.35,49.62
10,49.405,50.43
11,50.37,50.79
12,50.775,50.88
13,50.96,50.78
14,50.67,51.105
15,50.96,51.605
16,51.5,51.15
17,51.085,51.055
18,50.725,51.695
19,52.285,51.995
20,52.205,51.875
21,52,51.41
22,51.75,51.75
23,51.52,51.73
24,51.61,52.115
25,52.26,52.965
26,52.875,52.88
27,52.535,52.705
28,52.9,52.61
29,52.395,53.315
30,53.475,53.3
31,53.235,53.08
32,53.37,53.34
33,53.295,52.475
34,52.53,52.865
35,52.96,53.07
36,53.055,53.145
37,52.94,53.585
38,53.705,53.715
39,53.755,53.96
40,54.445,54.27
