day,open,close
0,58.93,59.03
1,58.77,59.22
2,58.99,59.81
3,59.59,59.91
4,60.02,60.4
5,61.22,61.57
6,61.27,61.65
7,61.66,62.09
8,61.38,61.73
9,62.17,61.24
10,59.79,59.64
11,59.36,59.4
12,59.35,59.63
13,59.76,59.73
14,59.26,59.52
15,59.14,59.62
16,60,58.9
17,58.57,59.08
18,58.25,59.02
19,59.47,58.92
20,59.62,59.86
21,59.94,59.81
22,60.5,62.2
23,61.48,61.07
24,60.73,60.7
25,60.67,60.43
26,60.66,60.39
27,59.61,59.67
28,60.11,60.09
29,59.94,59.56
30,59.75,59.51
31,59.51,60.7
32,61.18,61.14
33,61.37,61.26
34,61.02,59.71
35,59.69,59.68
36,59.89,59.38
37,59.1,59.42
38,59.42,59.54
39,59.54,59.52
40,59.7,60.29
