day,open,close
0,9.93,9.59
1,9.62,9.64
2,9.58,9.78
3,9.74,9.85
4,9.84,10.07
5,10.12,10.1
6,10.1,10.08
7,10.15,10.16
8,10.09,9.9
9,10.01,9.8
10,9.86,10.96
11,10.54,10.51
12,10.5,10.24
13,10.24,10.4
14,10.38,10.25
15,10.23,10.27
16,10.37,10.03
17,10.01,10.11
18,10.01,10.23
19,7.21,7.18
20,7.3,7.27
21,7.33,7.29
22,7.38,7.39
23,7.42,7.39
24,7.41,7.27
25,7.31,7.51
26,7.55,7.47
27,7.42,7.6
28,7.7,7.52
29,7.51,7.45
30,7.57,7.34
31,7.37,7.52
32,7.58,7.88
33,7.64,7.26
34,7.27,7.15
35,7.17,7.24
36,7.23,7.18
37,7.12,7.16
38,7.2,7.22
39,7.22,7.09
40,7.13,7.07
