day,open,close
0,53.41,55.6
1,55.26,53.56
2,53.05,52.97
3,53.26,48.49
4,49.29,48.2
5,50.46,54.37
6,54.45,57.479
7,60,60.12
8,59.16,59.92
9,62.58,61.2
10,60.19,60.66
11,62.08,62.01
12,61.76,64.96
13,65.37,64.48
14,63.47,64.44
15,63.62,64.3
16,64.9788,62.39
17,62,69.96
18,69.61,69.23
19,69.46,70.27
20,71.26,73.89
21,75.1,75.3
22,76.55,75
23,70.66,70.08
24,68.2,65.43
25,66.59,65.69
26,66.59,65.43
27,64.3,65.14
28,66.65,70.21
29,70.7,68.12
30,69.63,66.38
31,67.2,68.69
32,69.17,67.74
33,67.95,64.05
34,64.2,62.52
35,60.56,62.35
36,62.35,61.41
37,61.4,62.95
38,65.51,70.04
39,70,68.06
40,68.57,69.761
