day,open,close
0,28.94,28.08
1,28.21,27.71
2,27.76,27.12
3,27.2,26.91
4,27,27.25
5,27.44,27.62
6,27.62,28.23
7,28.48,28.25
8,28.4,22.79
9,26.62,26.6
10,26.69,26.81
11,27.19,26.76
12,26.9,26.6
13,26.81,26.77
14,26.63,27.42
15,27.27,27.97
16,28.07,28.94
17,28.5,29.33
18,29.49,29.57
19,29.9,29.07
20,29.07,29.58
21,29.72,30.25
22,30.41,31.15
23,31.1,31.8
24,31.8,31.6
25,31.6,31.93
26,32,32.58
27,32.26,31.1
28,31.55,31.49
29,31.74,33.17
30,33.1,33.6
31,33.5,34.18
32,33.99,34.97
33,34.87,34.5
34,34.5,34.22
35,33.99,34.53
36,34.23,33.75
37,33.41,33.62
38,33.64,33.81
39,33.81,33.41
40,33.51,34.41
