day,open,close
0,16.27,16.285
1,16.12,15.78
2,15.6,15.64
3,15.64,15.515
4,15.59,15.46
5,15.57,15.51
6,15.56,15.53
7,15.58,15.66
8,15.65,15.48
9,15.63,15.43
10,15.87,15.92
11,15.9,16.12
12,16.11,15.96
13,15.85,15.68
14,15.57,15.69
15,15.6,15.56
16,15.63,15.53
17,15.5,15.74
18,15.61,15.55
19,15.54,15.47
20,15.57,15.73
21,15.76,15.72
22,15.935,15.92
23,15.94,15.82
24,15.84,15.83
25,15.96,15.78
26,16.1,16
27,16.02,16.14
28,16.13,16.12
29,16.07,15.365
30,15.23,15.12
31,15.25,15.355
32,15.41,15.01
33,15.035,14.75
34,14.68,14.5
35,14.55,14.78
36,14.86,14.89
37,14.74,14.86
38,14.93,14.9
39,14.89,14.83
40,14.89,14.93
